R,G,B,class
0.0817120622568093,0.217898832684825,0.575875486381323,River
0.0817120622568093,0.217898832684825,0.583657587548638,River
0.0817120622568093,0.217898832684825,0.583657587548638,River
0.926070038910506,0.0194552529182879,0.0311284046692607,Grass
0.933852140077821,0.0194552529182879,0.00778210116731518,Grass
0.929961089494163,0.0272373540856031,0.0272373540856031,Grass
0.992217898832685,0.992217898832685,0.992217898832685,Road
0.992217898832685,0.992217898832685,0.992217898832685,Road
0.992217898832685,0.992217898832685,0.992217898832685,Road
0.926070038910506,0.0194552529182879,0.0311284046692607,River
0.929961089494163,0.0233463035019455,0.0350194552529183,River
0.929961089494163,0.0272373540856031,0.0272373540856031,River
0.929961089494163,0.0272373540856031,0.0272373540856031,River
0.929961089494163,0.0272373540856031,0.0272373540856031,River
0.929961089494163,0.0272373540856031,0.0272373540856031,River
0.929961089494163,0.0272373540856031,0.0272373540856031,River
0.0739299610894942,0.21011673151751,0.560311284046693,Grass
0.0739299610894942,0.21011673151751,0.560311284046693,Grass
0.0739299610894942,0.21011673151751,0.560311284046693,Grass
0.0739299610894942,0.21011673151751,0.560311284046693,Grass
0.0739299610894942,0.21011673151751,0.560311284046693,Grass
0.0739299610894942,0.21011673151751,0.560311284046693,Grass
0.992217898832685,0.992217898832685,0.992217898832685,Road
0.992217898832685,0.992217898832685,0.992217898832685,Road
0.992217898832685,0.992217898832685,0.992217898832685,Road
0.992217898832685,0.992217898832685,0.992217898832685,Road
